parameter,evergreen_broadleaf,deciduous_broadleaf,evergreen_needleleaf_conifer,local_deciduous_broadleaf,evergreen_broadleaf_Rhododendron,grass,shrub,evergreen_broadleaf (Schima/Quercus) | citation_short,deciduous_broadleaf (Sal) | citation_short,evergreen_needleleaf_conifer (Chir pine) | citation_short,local_deciduous_broadleaf | citation_short,evergreen_broadleaf_ericaceous (Rhododendron) | citation_short,grass | citation_short,shrub | citation_short
specific_snow_capacity,0.0003,0.0003,0.0003,0.0003,0.0003,0.0025,0.001,White et al. (2000); Thornton (1998); Lin (n.d.),White et al. (2000); Thornton (1998); Lin (n.d.),White et al. (2000); Thornton (1998); Lin (n.d.),White et al. (2000); Thornton (1998); Lin (n.d.),White et al. (2000); Thornton (1998); Lin (n.d.),White et al. (2000); Thornton (1998),White et al. (2000); Thornton (1998)
wind_attenuation_coef,0.4,0.4,0.4,0.4,0.4,0.4,0.4,White et al. (2000); Thornton (1998); Lin (n.d.),White et al. (2000); Thornton (1998); Lin (n.d.),White et al. (2000); Thornton (1998); Lin (n.d.),White et al. (2000); Thornton (1998); Lin (n.d.),White et al. (2000); Thornton (1998); Lin (n.d.),White et al. (2000); Thornton (1998),White et al. (2000); Thornton (1998)
ustar_overu,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,White et al. (2000); Thornton (1998); Lin (n.d.),White et al. (2000); Thornton (1998); Lin (n.d.),White et al. (2000); Thornton (1998); Lin (n.d.),White et al. (2000); Thornton (1998); Lin (n.d.),White et al. (2000); Thornton (1998); Lin (n.d.),White et al. (2000); Thornton (1998),White et al. (2000); Thornton (1998)
mrc.q10,2.2,2.2,2.2,2.2,2.2,1.5,2.54,White et al. (2000); Running & Hunt (1993),White et al. (2000); Running & Hunt (1993),White et al. (2000); Running & Hunt (1993),White et al. (2000); Running & Hunt (1993),White et al. (2000); Running & Hunt (1993),White et al. (2000); Thornton (1998),White et al. (2000); Thornton (1998)
mrc.per_N,0.22,0.22,0.22,0.22,0.22,0.2,0.3,White et al. (2000); Running & Hunt (1993),White et al. (2000); Running & Hunt (1993),White et al. (2000); Running & Hunt (1993),White et al. (2000); Running & Hunt (1993),White et al. (2000); Running & Hunt (1993),White et al. (2000); Thornton (1998),White et al. (2000); Thornton (1998)
epc.gr_perc,0.25,0.25,0.25,0.25,0.25,0.2,0.25,White et al. (2000); Thornton (1998); Lin (n.d.),White et al. (2000); Thornton (1998); Lin (n.d.),White et al. (2000); Thornton (1998); Lin (n.d.),White et al. (2000); Thornton (1998); Lin (n.d.),White et al. (2000); Thornton (1998); Lin (n.d.),White et al. (2000); Thornton (1998),White et al. (2000); Thornton (1998)
lai_stomatal_fraction,1,1,1,1,1,1,1,White et al. (2000); Thornton (1998); Lin (n.d.),White et al. (2000); Thornton (1998); Lin (n.d.),White et al. (2000); Thornton (1998); Lin (n.d.),White et al. (2000); Thornton (1998); Lin (n.d.),White et al. (2000); Thornton (1998); Lin (n.d.),White et al. (2000); Thornton (1998),White et al. (2000); Thornton (1998)
epc.flnr,0.1648,0.1648,0.1648,0.1648,0.1648,0.15,0.04,White et al. (2000); Running & Hunt (1993),White et al. (2000); Running & Hunt (1993),White et al. (2000); Running & Hunt (1993),White et al. (2000); Running & Hunt (1993),White et al. (2000); Running & Hunt (1993),White et al. (2000); Thornton (1998),White et al. (2000); Thornton (1998)
epc.ppfd_coef,0.03,0.03,0.03,0.03,0.03,0.03,0.04,White et al. (2000); Running & Coughlan (1988),White et al. (2000); Running & Coughlan (1988),White et al. (2000); Running & Coughlan (1988),White et al. (2000); Running & Coughlan (1988),White et al. (2000); Running & Coughlan (1988),White et al. (2000); Thornton (1998),White et al. (2000); Thornton (1998)
epc.topt,20,20,20,20,20,17.5,22.7,White et al. (2000); Running & Coughlan (1988),White et al. (2000); Running & Coughlan (1988),White et al. (2000); Running & Coughlan (1988),White et al. (2000); Running & Coughlan (1988),White et al. (2000); Running & Coughlan (1988),White et al. (2000); Thornton (1998),White et al. (2000); Thornton (1998)
